Alloy,Al,Cr,Fe,Hf,Mo,Nb,Ni,Sc,Si,Ta,Ti,V,W,Zr,Co,Cu
Al0.6Nb0.5TiV2Zr0.5,13.04,0,0,0,0,10.87,0,0,0,0,21.74,43.48,0,10.87,0,0
Al0.8Nb0.5TiV2Zr0.5,16.66,0,0,0,0,10.42,0,0,0,0,20.83,41.67,0,10.42,0,0
Al1.0Nb0.5TiV2Zr0.5,20,0,0,0,0,10,0,0,0,0,20,40,0,10,0,0
Nb40Ti25Al15V10Ta5Hf3W2,15,0,0,3,0,40,0,0,0,5,25,10,2,0,0,0
Ti40Al10V20Nb20Mo10,10,0,0,0,10,20,0,0,0,0,40,20,0,0,0,0
Ti35Al15V20Nb20Mo10,15,0,0,0,10,20,0,0,0,0,35,20,0,0,0,0
Ti30Al20V20Nb20Mo10,20,0,0,0,10,20,0,0,0,0,30,20,0,0,0,0
Al0.5CoCrCuFeNi,9.09,18.8,18.8,0,0,0,18.8,0,0,0,0,0,0,0,18.8,18.8
NbTaTiV,0,0,0,0,0,25,0,0,0,25,25,25,0,0,0,0
(VNbTiTa)97.5Si2.5,0,0,0,0,0,24.38,0,0,2.5,24.38,24.38,24.38,0,0,0,0
(VNbTiTa)95Si5,0,0,0,0,0,23.75,0,0,5,23.75,23.75,23.75,0,0,0,0
(VNbTiTa)90Si10,0,0,0,0,0,22.5,0,0,10,22.5,22.5,22.5,0,0,0,0
