Alloy,Al,Cr,Fe,Hf,Mo,Nb,Ni,Sc,Si,Ta,Ti,V,W,Zr,Co,Cu
HfMoScTaZr,0,0,0,20,20,0,0,20,0,20,0,0,0,20,0,0
ZrTiHfV0.5Nb0.5,0,0,0,25.91,0,13.42,0,0,0,0,24.34,12.03,0,24.31,0,0
Zr2.0TiHfVNb2.0,0,0,0,14.65,0,30.8,0,0,0,0,13.58,13.4,0,27.57,0,0
ZrTiHfNb0.5Mo0.5,0,0,0,25.58,10.59,18.99,0,0,0,0,21.85,0,0,22.99,0,0
ZrTiHfNb0.5Ta0.5,0,0,0,23.33,0,17.5,0,0,0,10.78,21.36,0,0,23.56,0,0
Hf25Nb25Ti25Zr25,0,0,0,25,0,25,0,0,0,0,25,0,0,25,0,0
Ti50Nb30Cr10V10,0,10,0,0,0,30,0,0,0,0,50,10,0,0,0,0
Ti42.2Nb25.3Cr10V10Ni7.5Al5,5,10,0,0,0,25.3,7.5,0,0,0,42.2,10,0,0,0,0
Ti39.1Nb23.4Cr10V10Ni10.5Al7 ,7,10,0,0,0,23.4,10.5,0,0,0,39.1,10,0,0,0,0
Ti34.4Nb20.6Cr10V10Ni15Al10,10,10,0,0,0,20.6,15,0,0,0,34.4,10,0,0,0,0
TiZrHfVNbTa,0,0,0,16.67,0,16.67,0,0,0,16.67,16.67,16.67,0,16.67,0,0
TiZrHfV0.5Nb0.5Ta0.5,0,0,0,22.22,0,11.11,0,0,0,11.11,22.22,11.11,0,22.22,0,0
TiZrHfV0.1Nb0.1Ta0.1,0,0,0,30.3,0,3.03,0,0,0,3.03,30.3,3.03,0,30.3,0,0
CrHfNbTaTi,0,20,0,20,0,20,0,0,0,20,20,0,0,0,0,0
Nb0.5TiV2Zr0.5,0,0,0,0,0,12.5,0,0,0,0,25,50,0,12.5,0,0
Al0.2Nb0.5TiV2Zr0.5,4.77,0,0,0,0,11.9,0,0,0,0,23.81,47.62,0,11.9,0,0
Al0.4Nb0.5TiV2Zr0.5,4.77,0,0,0,0,11.9,0,0,0,0,23.81,47.62,0,11.9,0,0
